-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1985 through 03/31/2024 
Location: Latitude  21.036   Longitude 105.7817 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,QV2M,PS,WS10M
1985,1,1,16.52,0.43,9.58,100.77,2.41
1985,1,2,18.64,0.55,10.8,100.72,2.64
1985,1,3,20.19,0.84,11.78,100.66,3.81
1985,1,4,14.82,0.31,7.87,101.09,3.66
1985,1,5,13.51,0.19,6.65,101.1,2.59
1985,1,6,16.37,0.94,9.46,100.68,2.65
1985,1,7,16.14,0.24,8.91,100.84,3.43
1985,1,8,11.44,0.16,5.49,101.18,3.41
1985,1,9,12.48,0.05,5.86,101.15,2.78
1985,1,10,12.3,0.0,4.64,101.13,3.06
1985,1,11,12.26,1.04,7.02,100.61,2.34
1985,1,12,12.74,3.76,7.45,100.84,2.73
1985,1,13,11.94,1.09,5.68,101.37,3.2
1985,1,14,12.5,0.03,5.43,101.27,2.34
1985,1,15,13.72,0.47,7.02,100.94,1.95
1985,1,16,16.15,0.9,9.4,100.66,2.3
1985,1,17,17.88,0.01,10.38,100.65,2.83
1985,1,18,16.67,0.0,7.69,100.98,1.96
1985,1,19,17.32,0.01,8.36,100.84,2.45
1985,1,20,17.89,0.0,9.77,100.82,2.84
1985,1,21,19.09,0.0,10.01,100.57,3.24
1985,1,22,20.13,0.0,10.5,100.43,3.01
1985,1,23,21.38,0.25,11.9,100.47,3.57
1985,1,24,20.18,6.19,11.47,100.59,4.7
1985,1,25,11.76,4.03,6.41,101.14,4.3
1985,1,26,14.58,0.01,7.57,100.93,2.25
1985,1,27,16.11,0.61,9.28,100.96,2.57
1985,1,28,17.01,3.14,9.64,100.91,2.83
1985,1,29,11.91,1.27,6.35,101.37,4.45
1985,1,30,13.07,0.01,5.37,101.3,3.09
1985,1,31,15.54,0.24,7.75,100.83,2.37
1985,2,1,15.89,0.19,8.73,100.8,2.68
1985,2,2,17.01,0.04,8.48,100.68,2.53
1985,2,3,19.81,0.07,10.68,100.08,4.01
1985,2,4,22.58,1.21,12.15,99.61,3.35
1985,2,5,23.51,0.2,13.24,99.31,3.2
1985,2,6,24.47,0.02,10.68,99.41,1.88
1985,2,7,25.13,0.15,10.5,99.36,2.09
1985,2,8,24.65,0.0,9.28,99.24,2.28
1985,2,9,22.96,0.16,11.05,99.53,2.91
1985,2,10,20.99,1.07,10.62,99.89,3.45
1985,2,11,22.34,0.39,12.27,99.89,2.7
1985,2,12,20.84,0.27,11.05,100.02,3.85
1985,2,13,20.32,0.41,10.99,100.2,3.19
1985,2,14,21.65,0.24,12.27,99.96,3.89
1985,2,15,25.48,1.17,13.73,99.56,3.35
1985,2,16,24.4,6.44,15.01,99.64,3.17
